PhotoID,AlbumID,LocationID,MemberID,Title,Description,Privacy,UploadDate,View,ImagePath
1,10,100,1000, 'India',' Description for India', 'Public', '2021-03-27',0, '/path/10/1.jpg '
2,11,101,1001, 'Reception',' Description for Receprion', 'Public', '2021-10-27',12, '/path/11/2.jpg '
3,20,102,1002, 'Wedding',' Description for Wedding', 'Public', '2021-03-28',14, '/path/20/3.jpg '
4,20,102,1002, 'Wedding',' Description for Wedding', 'Public', '2021-03-29',16, '/path/20/4.jpg '
5,30,103,1003, 'Anniversary',' Description for Anniversary', 'Public', '2019-12-12',23, '/path/30/5.jpg '
6,30,103,1003, 'Anniversary',' Description for Anniversary', 'Private', '2019-01-12',25, '/path/30/6.jpg '
7,45,145,1045, 'Birthday',' Description for Birthday', 'Private', '2021-02-17',34, '/path/45/7.jpg '
8,53,153,1053, 'Trip',' Description for Trip', 'Private', '2021-04-18',46, '/path/53/8.jpg '
9,64,164,1064, 'Bali',' Description for Bali', 'Private', '2022-05-02',75, '/path/64/9.jpg '
10,28,128,1028, 'Texas',' Description for Texas', 'Public', '2016-06-22',1, '/path/28/10.jpg '
11,73,173,1073, 'Dallas',' Description for Dallas', 'Public', '2017-07-23',0, '/path/73/11.jpg '
12,24,124,1024, 'School',' Description for School', 'Public', '2021-08-01',1, '/path/24/12.jpg '
13,64,164,1064, 'College',' Description for College', 'Public', '2023-01-12',4, '/path/64/13.jpg '
14,73,173,1073, 'Graduation Day',' Description for Graduation Day', 'Private', '2022-09-13',1, '/path/73/14.jpg '
15,73,173,1073, 'Graduation Day',' Description for Graduation Day', 'Private', '2021-11-27',6, '/path/73/15.jpg '
16,99,199,1099, 'Propose Day',' Description for Propose Day', 'Private', '2021-12-12',7, '/path/99/16.jpg '
17,11,101,1001, 'Reception',' Description for Reception', 'Public', '2021-03-27',4, '/path/11/17.jpg '
18,20,102,1002, 'Wedding',' Description for Wedding', 'Public', '2021-10-27',8, '/path/20/18.jpg '
